HS2,HS4,HS6,description,clean_description
,,30251.0,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled cod gadus morhua gadus ogac gadus macrocephalus exclude fillet fish meat edible fish offal subheading
,,30252.0,"Fish; fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled haddock melanogrammus aeglefinus exclude fillet fish meat edible fish offal subheading
,,30253.0,"Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled coalfish pollachius virens exclude fillet fish meat edible fish offal subheading
,,30254.0,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled hake merluccius spp urophycis spp exclude fillet fish meat edible fish offal subheading
,,30255.0,"Fish; fresh or chilled, Alaska pollock (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled alaska pollock theragra chalcogramma exclude fillet fish meat edible fish offal subheading
,,30256.0,"Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled blue whiting micromesistius poutassou micromesistius fillet fish meat edible fish offal subheading
,,30259.0,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled item exclude fillet fish meat edible fish offal subheading
,,30271.0,"Fish; fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled tilapia oreochromis spp exclude fillet fish meat edible fish offal subheading
,,30272.0,"Fish; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled catfish pangasius spp silurus spp clarias spp ictalurus spp exclude fillet fish meat edible fish offal subheading
,,30273.0,"Fish; fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled carp specify wco exclude fillet fish meat edible fish offal subheading
,,30274.0,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled eel anguilla spp exclude fillet fish meat edible fish offal subheading
,,30279.0,"Fish; fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled nile perch late niloticus snakehead channa spp exclude fillet fish meat edible fish offal subheading
,,30281.0,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled dogfish shark exclude fillet fish meat edible fish offal subheading
,,30282.0,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled ray skate rajidae exclude fillet fish meat edible fish offal subheading
,,30283.0,"Fish; fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled toothfish dissostichus spp exclude fillet fish meat edible fish offal subheading
,,30284.0,"Fish; fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled seabass dicentrarchus spp exclude fillet fish meat edible fish offal subheading
,,30285.0,"Fish; fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled seabream sparidae exclude fillet fish meat edible fish offal subheading
,,30289.0,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",fish fresh chilled head exclude fillet fish meat edible fish offal subheading
,,30291.0,"Fish; fresh or chilled, livers, roes and milt",fish fresh chilled liver roe milt
,,30292.0,"Fish; fresh or chilled, shark fins",fish fresh chilled shark fin
,,30299.0,"Fish; fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",fish fresh chilled fish fin shark fin head tail maw edible fish offal
,,30311.0,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen pacific salmon sockeye salmon red salmon oncorhynchus nerka exclude fillet fish meat edible fish offal subheading
,,30312.0,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen pacific salmon oncorhynchus gorbuscha keta kisutch masou rhodurus sockeye salmon oncorhynchus nerka exclude fillet fish meat edible fish offal subheading
,,30313.0,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen atlantic salmon salmo salar danube salmon hucho hucho exclude fillet fish meat edible fish offal subheading
,,30314.0,"Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99",fish frozen trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache oncorhynchus chrysogaster exclude fillet meat edible fish offal
,,30319.0,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen salmonidae item exclude fillet fish meat edible fish offal subheading
,,30323.0,"Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen tilapia oreochromis spp exclude fillet fish meat edible fish offal subheading
,,30324.0,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen catfish pangasius spp silurus spp clarias spp ictalurus spp exclude fillet fish meat edible fish offal subheading
,,30325.0,"Fish; frozen, carp (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen carp specify wco exclude fillet fish meat edible fish offal subheading
,,30326.0,"Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen eel anguilla spp exclude fillet fish meat edible fish offal subheading
,,30329.0,"Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",fish frozen nile perch late niloticus snakehead channa spp exclude fillet fish meat edible fish offal subheading
